impl,kernel,B,T,D,N,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms
B3_two_phase,phase1_interblock,4,128,2048,8,3.804557568510063,3.8083539984654635,3.8992920017335564,0.05548466902128589,3.665417025331408,3.911708015948534
B1_naive,depth_attention_naive,4,128,2048,16,3.44495422905311,3.4437710128258914,3.489750000881031,0.02720080688097031,3.3964579924941063,3.522082988638431
B3_two_phase,phase1_interblock,4,128,2048,16,7.343662579078227,7.341666496358812,7.451957993907854,0.06451332730138888,7.197375001851469,7.558540994068608
B3_two_phase,phase2_ref,4,128,2048,,0.3881468088366091,0.3761455009225756,0.43408299097791314,0.05312335735969164,0.3485000052023679,0.826750008855015
B4_fused,phase2_fused,4,128,2048,,0.3094853615039028,0.2913539938163012,0.34574998426251113,0.09691266605008154,0.2633749973028898,1.2157500023022294
B1_naive,depth_attention_naive,4,512,512,4,0.9158117091283202,0.9014374954858795,0.9552080009598285,0.07295290050437771,0.8245409990195185,1.5634169976692647
B3_two_phase,phase1_interblock,4,512,512,4,1.8928791797952726,1.884750003227964,1.945124997291714,0.08376157865393159,1.839417003793642,2.667124994331971
B1_naive,depth_attention_naive,4,512,512,8,1.7406142500112765,1.7267920047743246,1.8054159882012755,0.08880213540656201,1.646124990656972,2.557874977355823
B3_two_phase,phase1_interblock,4,512,512,8,3.756656601035502,3.752332995645702,3.8564999995287508,0.05578598905038794,3.6205000069458038,3.891666972776875
B1_naive,depth_attention_naive,4,512,512,16,3.420685509336181,3.4150414867326617,3.473541990388185,0.03281039715440728,3.3675000013317913,3.534874995239079
B3_two_phase,phase1_interblock,4,512,512,16,7.318252568948083,7.314041999052279,7.408708013826981,0.056212702002590126,7.222291984362528,7.4559169879648834
B3_two_phase,phase2_ref,4,512,512,,0.38148215011460707,0.371895992429927,0.41041598888114095,0.05582708582471099,0.33758400240913033,0.8673749980516732
B4_fused,phase2_fused,4,512,512,,0.29362664005020633,0.2793120074784383,0.3192919830325991,0.06777691937579194,0.2617920108605176,0.897291989531368
B1_naive,depth_attention_naive,4,512,1024,4,1.7887871505809017,1.7655209958320484,1.8291669839527458,0.1497993916738832,1.7206670017912984,3.247625019866973
B3_two_phase,phase1_interblock,4,512,1024,4,3.825076619395986,3.812062495853752,3.939791989978403,0.06367497835436736,3.714791004313156,4.017667000880465
